"","file_handles","avg_received_size","min_request_size","max_request_size","avg_distance","pattern_description"
"2116",1,32,32,32,1530532.25,"SC"
"2117",1,32,32,32,1567416,"SC"
"2118",1,32,32,32,1356367.375,"SC"
"2119",1,32,32,32,1395362.625,"SC"
"2120",1,32,32,32,1331572.375,"SC"
"2121",1,32,32,32,1459787.875,"SC"
"2122",1,32,32,32,1315735.375,"SC"
"2123",1,32,32,32,1293657,"SC"
"2124",1,32,32,32,1338062.125,"SC"
"2125",1,32,32,32,1361376.25,"SC"
"2126",1,32,32,32,1444248,"SC"
"2127",1,32,32,32,1633548.875,"SC"
"2128",1,32,32,32,1303556.75,"SC"
"2129",1,32,32,32,1394765.875,"SC"
"2130",1,32,32,32,1337814.75,"SC"
"2131",1,32,32,32,1262824.75,"SC"
"2132",1,32,32,32,1585529.75,"SC"
"2133",1,32,32,32,1497460.375,"SC"
"2134",1,32,32,32,1554255.875,"SC"
"2135",1,32,32,32,1631660.375,"SC"
"2136",1,32,32,32,1597325.875,"SC"
"2137",1,32,32,32,1423613.875,"SC"
"2138",1,32,32,32,1630439.375,"SC"
"2139",1,32,32,32,1432262.25,"SC"
"2140",1,32,32,32,1398707,"SC"
"2141",1,32,32,32,1425697.375,"SC"
"2142",1,32,32,32,1373903.25,"SC"
"2143",1,32,32,32,1527750.75,"SC"
"2144",1,32,32,32,1257940.75,"SC"
"2145",1,32,32,32,1584774.25,"SC"
"2146",1,32,32,32,1459337.75,"SC"
"2147",1,32,32,32,1430076.75,"SC"
"2148",1,32,32,32,1639015.125,"SC"
"2149",1,32,32,32,1448963.625,"SC"
"2150",1,32,32,32,1282009.125,"SC"
"2151",1,32,32,32,1348380.625,"SC"
"2152",1,32,32,32,1375365,"SC"
"2753",1,32,32,32,1390591,"SC"
"2754",1,32,32,32,1452495.125,"SC"
"2755",1,32,32,32,1454574.625,"SC"
"2756",1,32,32,32,1396869.625,"SC"
"2757",1,32,32,32,1407652.5,"SC"
"2758",1,32,32,32,1394502.375,"SC"
"2759",1,32,32,32,1408804.625,"SC"
"2760",1,32,32,32,1436496.875,"SC"
"2761",1,32,32,32,1451688.875,"SC"
"2762",1,32,32,32,1424608,"SC"
"2763",1,32,32,32,1458882.625,"SC"
"2764",1,32,32,32,1453041.375,"SC"
"2765",1,32,32,32,1386500.75,"SC"
"2766",1,32,32,32,1407677.125,"SC"
"2767",1,32,32,32,1344683.375,"SC"
"2768",1,32,32,32,1357402.5,"SC"
"2769",1,32,32,32,1411799.875,"SC"
"2770",1,32,32,32,1450570,"SC"
"2771",1,32,32,32,1411902.75,"SC"
"2772",1,32,32,32,1395989,"SC"
"2773",1,32,32,32,1323999.25,"SC"
"2774",1,32,32,32,1446118.25,"SC"
"2775",1,32,32,32,1442123.5,"SC"
"2776",1,32,32,32,1423225.375,"SC"
"2777",1,32,32,32,1422575.25,"SC"
"2778",1,32,32,32,1399438.625,"SC"
"2779",1,32,32,32,1356004.25,"SC"
"2780",1,32,32,32,1389648.5,"SC"
"2781",1,32,32,32,1391149.5,"SC"
"2782",1,32,32,32,1430981,"SC"
"2783",1,32,32,32,1416308,"SC"
"2784",1,32,32,32,1380947,"SC"
"2785",1,32,32,32,1341879.75,"SC"
"2786",1,32,32,32,1363802.75,"SC"
"2787",1,32,32,32,1398150,"SC"
"2788",1,32,32,32,1407528.625,"SC"
"2789",1,32,32,32,1421385.75,"SC"
"2790",1,32,32,32,1429529.75,"SC"
"2791",1,32,32,32,1431166.125,"SC"
"2792",1,32,32,32,1446030.875,"SC"
"3137",1,32,32,32,1409706.625,"SC"
"3138",1,32,32,32,1490030.875,"SC"
"3139",1,32,32,32,1272540.25,"SC"
"3140",1,32,32,32,1389162.125,"SC"
"3141",1,32,32,32,1366736,"SC"
"3142",1,32,32,32,1394868.375,"SC"
"3143",1,32,32,32,1344186.5,"SC"
"3144",1,32,32,32,1366589.625,"SC"
"3145",1,32,32,32,1419553.125,"SC"
"3146",1,32,32,32,1357892,"SC"
"3147",1,32,32,32,1428313,"SC"
"3148",1,32,32,32,1440237.375,"SC"
"3149",1,32,32,32,1418003.75,"SC"
"3150",1,32,32,32,1385928.25,"SC"
"3151",1,32,32,32,1370376.625,"SC"
"3152",1,32,32,32,1340972.375,"SC"
"3153",1,32,32,32,1446303.625,"SC"
"3154",1,32,32,32,1396144.125,"SC"
"3155",1,32,32,32,1369634,"SC"
"3156",1,32,32,32,1388434.75,"SC"
"3157",1,32,32,32,1562586.125,"SC"
"3158",1,32,32,32,1415294.75,"SC"
"3159",1,32,32,32,1454327.25,"SC"
"3160",1,32,32,32,1439856.75,"SC"
"3161",1,32,32,32,1318658.375,"SC"
"3162",1,32,32,32,1493985.125,"SC"
"3163",1,32,32,32,1342943.875,"SC"
"3164",1,32,32,32,1385343.125,"SC"
"3165",1,32,32,32,1333240.625,"SC"
"3166",1,32,32,32,1455405.5,"SC"
"3167",1,32,32,32,1436341,"SC"
"3168",1,32,32,32,1296104.75,"SC"
"3169",1,32,32,32,1389782.5,"SC"
"3170",1,32,32,32,1279760,"SC"
"3171",1,32,32,32,1289686.875,"SC"
"3172",1,32,32,32,1361276.875,"SC"
"3173",1,32,32,32,1385149,"SC"
"3174",1,32,32,32,1429242.75,"SC"
"3175",1,32,32,32,1198014,"SC"
"3519",128,32,32,32,0,"FP"
"3520",128,32,32,32,0,"FP"
"3521",128,32,32,32,0,"FP"
"3522",128,32,32,32,0,"FP"
"3523",128,32,32,32,0,"FP"
"3524",128,32,32,32,0,"FP"
"3525",128,32,32,32,0,"FP"
"3526",128,32,32,32,0,"FP"
"3527",128,32,32,32,0,"FP"
"3528",128,32,32,32,0,"FP"
"3529",128,32,32,32,0,"FP"
"3530",128,32,32,32,0,"FP"
"3531",128,32,32,32,0,"FP"
"3532",128,32,32,32,0,"FP"
"3533",128,32,32,32,0,"FP"
"3534",128,32,32,32,0,"FP"
"3535",128,32,0,32,0,"FP"
"3536",128,32,0,32,0,"FP"
"3537",128,32,0,32,0,"FP"
"3538",128,32,32,32,0,"FP"
"3539",128,32,32,32,0,"FP"
"3540",128,32,32,32,0,"FP"
"3541",128,32,32,32,0,"FP"
"3542",128,32,32,32,0,"FP"
"3543",128,32,32,32,0,"FP"
"3544",128,32,32,32,0,"FP"
"3545",128,32,32,32,0,"FP"
"3546",128,32,32,32,0,"FP"
"3547",128,32,32,32,0,"FP"
"3548",128,32,32,32,0,"FP"
"3549",128,32,32,32,0,"FP"
"3550",128,32,32,32,0,"FP"
"3551",128,32,32,32,0,"FP"
"3552",128,32,32,32,0,"FP"
"3553",128,32,32,32,0,"FP"
"3554",128,32,32,32,0,"FP"
"3555",128,32,32,32,0,"FP"
"3556",128,32,32,32,0,"FP"
"3557",128,32,32,32,0,"FP"
"3558",128,32,32,32,0,"FP"
"4292",128,32,0,32,0,"FP"
"4293",128,32,0,32,0,"FP"
"4295",128,32,0,32,0,"FP"
"4296",128,0,0,32,0,"FP"
"4297",128,0,0,32,0,"FP"
"4298",128,0,0,32,0,"FP"
"4299",128,0,0,32,0,"FP"
"4300",128,0,0,32,0,"FP"
"4301",95,32,32,32,0,"FP"
"4302",128,0,0,32,0,"FP"
"4303",128,32,0,32,0,"FP"
"4304",128,32,0,32,0,"FP"
"4306",128,32,0,32,0,"FP"
"4308",128,32,0,32,0,"FP"
"4309",128,32,0,32,0,"FP"
"4311",128,32,0,32,0,"FP"
"4312",128,32,0,32,0,"FP"
"4313",128,32,0,32,0,"FP"
"4314",128,32,0,32,0,"FP"
"4315",128,32,0,32,0,"FP"
"4316",128,32,0,32,0,"FP"
"4317",128,32,0,32,0,"FP"
"4319",128,32,0,32,0,"FP"
"4320",128,32,0,32,0,"FP"
"4322",128,32,0,32,0,"FP"
"4323",128,32,0,32,0,"FP"
"4324",128,32,0,32,0,"FP"
"4325",128,32,0,32,0,"FP"
"4326",128,32,0,32,0,"FP"
"4327",128,32,0,32,0,"FP"
"4328",128,32,0,32,0,"FP"
"4329",128,32,32,32,0,"FP"
"4330",128,32,0,32,0,"FP"
"4331",128,32,0,32,0,"FP"
"5122",1,256,256,256,1468491.125,"SC"
"5123",1,256,256,256,1461396.5,"SC"
"5124",1,256,256,256,1217876.375,"SC"
"5125",1,256,256,256,1537026.5,"SC"
"5126",1,256,256,256,1246043.625,"SC"
"5127",1,256,256,256,1299453.875,"SC"
"5128",1,256,256,256,1398672.625,"SC"
"5129",1,256,256,256,1313394.875,"SC"
"5130",1,256,256,256,1280582,"SC"
"5131",1,256,256,256,1254687.125,"SC"
"5132",1,256,256,256,1289360.125,"SC"
"5133",1,256,256,256,1226091.25,"SC"
"5134",1,256,256,256,1321953.125,"SC"
"5135",1,256,256,256,1469195,"SC"
"5136",1,256,256,256,1234246,"SC"
"5137",1,256,256,256,1296063.75,"SC"
"5138",1,256,256,256,1314349.125,"SC"
"5139",1,256,256,256,1359458.875,"SC"
"5140",1,256,256,256,1979020.75,"SC"
"5141",1,256,256,256,1390158.375,"SC"
"5142",1,256,256,256,1246175.5,"SC"
"5143",1,256,256,256,1623515.375,"SC"
"5144",1,256,256,256,1568333.875,"SC"
"5145",1,256,256,256,1250484.75,"SC"
"5146",1,256,256,256,1364444,"SC"
"5147",1,256,256,256,1358043.375,"SC"
"5148",1,256,256,256,1383724.375,"SC"
"5149",1,256,256,256,1348791,"SC"
"5150",1,256,256,256,1230265.5,"SC"
"5151",1,256,256,256,1341842.75,"SC"
"5152",1,256,256,256,1176860.5,"SC"
"5153",1,256,256,256,1151931.375,"SC"
"5154",1,256,256,256,1373158.125,"SC"
"5155",1,256,256,256,1354959.25,"SC"
"5156",1,256,256,256,1449987,"SC"
"5157",1,256,256,256,1468449.5,"SC"
"5158",1,256,256,256,1443361.5,"SC"
"5159",1,256,256,256,1413986,"SC"
"5160",1,256,256,256,1433122.875,"SC"
"5470",1,256,256,256,1580204,"SC"
"5471",1,256,256,256,1179451.625,"SC"
"5472",1,256,256,256,1165902.75,"SC"
"5473",1,256,256,256,1320007.5,"SC"
"5474",1,256,256,256,1414637.75,"SC"
"5475",1,256,256,256,1312704,"SC"
"5476",1,256,256,256,1516117.375,"SC"
"5477",1,256,256,256,1407418.875,"SC"
"5478",1,256,256,256,1288519.125,"SC"
"5479",1,256,256,256,1364928,"SC"
"5480",1,256,256,256,1506642.25,"SC"
"5481",1,256,256,256,1449332.5,"SC"
"5482",1,256,256,256,1360717.75,"SC"
"5483",1,256,256,256,1635834.75,"SC"
"5484",1,256,256,256,1522972.5,"SC"
"5485",1,256,256,256,1537654.25,"SC"
"5486",1,256,256,256,1114316.75,"SC"
"5487",1,256,256,256,0,"SC"
"5488",1,256,256,256,1418964.125,"SC"
"5489",1,256,256,256,1374778.125,"SC"
"5490",1,256,256,256,1432645.875,"SC"
"5491",1,256,256,256,1669284.125,"SC"
"5492",1,256,256,256,1661849.5,"SC"
"5493",1,256,256,256,1186982,"SC"
"5494",1,256,256,256,1377102.25,"SC"
"5495",1,256,256,256,1211750.5,"SC"
"5496",1,256,256,256,1476210.75,"SC"
"5497",1,256,256,256,1391862.875,"SC"
"5498",1,256,256,256,1168064,"SC"
"5499",1,256,256,256,1076120.125,"SC"
"5500",1,256,256,256,1635089.625,"SC"
"5501",1,256,256,256,1338307.625,"SC"
"5502",1,256,256,256,1624023.125,"SC"
"5503",1,256,256,256,1566890.625,"SC"
"5504",1,256,256,256,1516169.25,"SC"
"5505",1,256,256,256,1303186.25,"SC"
"5506",1,256,256,256,1026006.5,"SC"
"5507",1,256,256,256,1599608.5,"SC"
"5508",1,256,256,256,1313859.875,"SC"
"5509",1,256,256,256,1705767.5,"SC"
"5758",1,256,256,256,1349272.5,"SC"
"5759",1,256,256,256,1324040.375,"SC"
"5760",1,256,256,256,1351299.375,"SC"
"5761",1,256,256,256,1532512.75,"SC"
"5762",1,256,256,256,1474975.625,"SC"
"5763",1,256,256,256,1544482.5,"SC"
"5764",1,256,256,256,1523021.5,"SC"
"5765",1,256,256,256,1620722.375,"SC"
"5766",1,256,256,256,1480101.125,"SC"
"5767",1,256,256,256,1424115.5,"SC"
"5768",1,256,256,256,1391935.125,"SC"
"5769",1,256,256,256,1478671.25,"SC"
"5770",1,256,256,256,1243458.875,"SC"
"5771",1,256,256,256,1469978.5,"SC"
"5772",1,256,256,256,1364381.75,"SC"
"5773",1,256,256,256,1432159,"SC"
"5774",1,256,256,256,1365449.25,"SC"
"5775",1,256,256,256,1582588.625,"SC"
"5776",1,256,256,256,1609109,"SC"
"5777",1,256,256,256,1377118.5,"SC"
"5778",1,256,256,256,1491812.375,"SC"
"5779",1,256,256,256,1428045.625,"SC"
"5780",1,256,256,256,1419674.875,"SC"
"5781",1,256,256,256,1522958.125,"SC"
"5782",1,256,256,256,1405218.25,"SC"
"5783",1,256,256,256,1270367.625,"SC"
"5784",1,256,256,256,1438821.5,"SC"
"5785",1,256,256,256,1351053.25,"SC"
"5786",1,256,256,256,1526336.625,"SC"
"5787",1,256,256,256,1447833.75,"SC"
"5788",1,256,256,256,1263596.125,"SC"
"5789",1,256,256,256,1405146.375,"SC"
"5790",1,256,256,256,1365546.75,"SC"
"5791",1,256,256,256,1405166.75,"SC"
"5792",1,256,256,256,1298250.875,"SC"
"5793",1,256,256,256,1235343,"SC"
"5794",1,256,256,256,1334025.125,"SC"
"5795",1,256,256,256,1366066.75,"SC"
"5796",1,256,256,256,1525734.5,"SC"
"5797",1,256,256,256,1568378.875,"SC"
"5941",1,256,256,256,1474369.625,"SC"
"5942",1,256,256,256,1120972.75,"SC"
"5943",1,256,256,256,1652808.25,"SC"
"5944",1,256,256,256,1451587.75,"SC"
"5945",1,256,256,256,1595726,"SC"
"5946",1,256,256,256,1262085.625,"SC"
"5947",1,256,256,256,1470825.125,"SC"
"5948",1,256,256,256,1655841.5,"SC"
"5949",1,256,256,256,1634792,"SC"
"5950",1,256,256,256,1705632.625,"SC"
"5951",1,256,256,256,1523810.875,"SC"
"5952",1,256,256,256,1516336.25,"SC"
"5953",1,256,256,256,1092243,"SC"
"5954",1,256,256,256,1551879.125,"SC"
"5955",1,256,256,256,1537578,"SC"
"5956",1,256,256,256,1844300,"SC"
"5957",1,256,256,256,1532927.875,"SC"
"5959",1,256,256,256,1351255.125,"SC"
"5960",1,256,256,256,1571661,"SC"
"5961",1,256,256,256,1483642.25,"SC"
"5962",1,256,256,256,1543243,"SC"
"5963",1,256,256,256,1733795.875,"SC"
"5964",1,256,256,256,1301102.25,"SC"
"5965",1,256,256,256,1583606.875,"SC"
"5966",1,256,256,256,1404157.625,"SC"
"5967",1,256,256,256,1676760.875,"SC"
"5968",1,256,256,256,1456383.875,"SC"
"5969",1,256,256,256,1235695.375,"SC"
"5970",1,256,256,256,1413540.75,"SC"
"5971",1,256,256,256,1060014.875,"SC"
"5972",1,256,256,256,1009172.6875,"SC"
"5973",1,256,256,256,1415847.375,"SC"
"5974",1,256,256,256,1429036.375,"SC"
"5975",1,256,256,256,1333533.25,"SC"
"5976",1,256,256,256,1479332.375,"SC"
"5977",1,256,256,256,1344707.5,"SC"
"5978",1,256,256,256,1239710,"SC"
"5979",1,256,256,256,1553717.125,"SC"
"5980",1,256,256,256,1329219.5,"SC"
"6171",32,32,32,32,0,"FP"
"6172",32,32,32,32,0,"FP"
"6173",32,32,32,32,0,"FP"
"6174",32,32,32,32,0,"FP"
"6175",32,32,32,32,0,"FP"
"6176",32,32,32,32,0,"FP"
"6177",32,32,32,32,0,"FP"
"6178",32,32,32,32,0,"FP"
"6179",32,32,32,32,0,"FP"
"6180",32,32,32,32,0,"FP"
"6181",32,32,32,32,0,"FP"
"6182",32,32,32,32,0,"FP"
"6183",32,32,32,32,0,"FP"
"6184",32,32,32,32,0,"FP"
"6185",32,32,32,32,0,"FP"
"6186",32,32,32,32,0,"FP"
"6187",32,32,32,32,0,"FP"
"6188",32,32,32,32,0,"FP"
"6189",32,32,32,32,0,"FP"
"6190",32,32,32,32,0,"FP"
"6191",32,32,32,32,0,"FP"
"6192",32,32,32,32,0,"FP"
"6193",32,32,32,32,0,"FP"
"6194",32,32,32,32,0,"FP"
"6195",32,32,32,32,0,"FP"
"6196",32,32,32,32,0,"FP"
"6197",32,32,32,32,0,"FP"
"6198",32,32,32,32,0,"FP"
"6199",32,32,32,32,0,"FP"
"6200",32,32,32,32,0,"FP"
"6201",32,32,32,32,0,"FP"
"6202",32,32,32,32,0,"FP"
"6203",32,32,32,32,0,"FP"
"6204",32,32,32,32,0,"FP"
"6205",32,32,32,32,0,"FP"
"6206",32,32,32,32,0,"FP"
"6207",32,32,32,32,0,"FP"
"6208",32,32,32,32,0,"FP"
"6209",32,32,32,32,0,"FP"
"6210",32,32,32,32,0,"FP"
"7166",32,32,32,32,0,"FP"
"7167",32,32,0,32,0,"FP"
"7168",32,32,32,32,0,"FP"
"7169",32,32,0,32,0,"FP"
"7170",32,32,32,32,0,"FP"
"7171",32,32,0,32,0,"FP"
"7172",32,32,0,32,0,"FP"
"7173",32,32,0,32,0,"FP"
"7174",32,32,0,32,0,"FP"
"7175",32,32,0,32,0,"FP"
"7176",32,32,0,32,0,"FP"
"7177",32,32,0,32,0,"FP"
"7178",32,32,0,32,0,"FP"
"7179",32,32,0,32,0,"FP"
"7180",32,32,0,32,0,"FP"
"7181",32,32,0,32,0,"FP"
"7182",32,32,0,32,0,"FP"
"7183",32,32,0,32,0,"FP"
"7184",32,32,0,32,0,"FP"
"7185",32,32,0,32,0,"FP"
"7186",32,32,0,32,0,"FP"
"7187",32,32,0,32,0,"FP"
"7188",32,32,0,32,0,"FP"
"7189",32,32,0,32,0,"FP"
"7190",32,16,0,32,0,"FP"
"7191",32,0,0,32,0,"FP"
"7192",32,32,32,32,0,"FP"
"7193",32,32,0,32,0,"FP"
"7194",32,32,0,32,0,"FP"
"7195",32,32,0,32,0,"FP"
"7196",32,32,0,32,0,"FP"
"7197",32,32,32,32,0,"FP"
"7198",32,32,32,32,0,"FP"
"7199",32,32,32,32,0,"FP"
"7200",32,32,0,32,0,"FP"
"7201",32,32,32,32,0,"FP"
"7202",32,32,32,32,0,"FP"
"7203",32,32,32,32,0,"FP"
"7204",32,32,0,32,0,"FP"
"8077",1,256,256,256,86437.7578125,"SS"
"8078",1,256,256,256,75091.34375,"SS"
"8079",1,256,256,256,80025.375,"SS"
"8080",1,256,256,256,78474.296875,"SS"
"8081",1,256,256,256,88513.2421875,"SS"
"8082",1,256,256,256,81090.1328125,"SS"
"8083",1,256,256,256,82010.1328125,"SS"
"8084",1,256,256,256,78663.9140625,"SS"
"8085",1,256,256,256,82764.7734375,"SS"
"8086",1,256,256,256,78081.0625,"SS"
"8087",1,256,256,256,90120.046875,"SS"
"8088",1,256,256,256,82819.828125,"SS"
"8089",1,256,256,256,80791.390625,"SS"
"8090",1,256,256,256,82214.6796875,"SS"
"8091",1,256,256,256,84079.171875,"SS"
"8092",1,256,256,256,92150.21875,"SS"
"8093",1,256,256,256,80929.2890625,"SS"
"8094",1,256,256,256,88927.34375,"SS"
"8095",1,256,256,256,84094.9296875,"SS"
"8096",1,256,256,256,86529.0625,"SS"
"8097",1,256,256,256,89881.484375,"SS"
"8098",1,256,256,256,97070.921875,"SS"
"8099",1,256,256,256,83868.828125,"SS"
"8100",1,256,256,256,87665.65625,"SS"
"8101",1,256,256,256,103487.71875,"SS"
"8102",1,256,256,256,87771.96875,"SS"
"8103",1,256,256,256,100177.828125,"SS"
